head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.4351915988285553,18.046802743365703,2.239871873165126,0.0972534,2.1783513344616394,-390.2979661363721,-388.73315805440785,1,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,1,1,0,0
1,0.5043275003899108,17.575023386631706,2.2618298390530818,0.1066732,2.4127660265961692,-390.3579418303025,-388.83538815753343,0,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,0,0,1,0
2,0.41079291063137147,18.06584103372249,2.2173770140036204,0.0987808,2.190342534414635,-390.21095928333045,-388.7617234501803,1,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,1,1,0,1
3,0.4345599372599613,18.115717717443182,2.2461317090042794,0.1005694,2.2589209570632542,-390.338025155071,-388.7434378787208,1,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,1,1,0,1
4,0.5243876961926469,18.74108992060507,2.398496688253154,0.0983976,2.3600629413142915,-390.09356656438115,-388.75246836627844,0,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,0,0,1,1
5,0.6392673774770274,44.356032867007016,5.0748706641777295,0.090729,4.604378944463918,-390.033619669919,-388.6725294020128,0,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,0,0,1,0
6,0.44429287812609763,20.371468490315202,2.4814397271576176,0.1012666,2.5128693914548568,-390.2180805174017,-388.7581378064323,0,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,0,0,1,1
7,0.4233448418547643,16.17387413205585,2.0407322550603495,0.1004826,2.0505806238652085,-390.44092832104445,-388.75923083426,1,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,1,1,0,1
8,0.45430004955840225,18.413162449524094,2.2956162945108116,0.1050088,2.410598882410381,-390.23802825226664,-388.81582850708963,0,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,0,0,1,0
9,0.4527915433923734,17.424367525996058,2.195228295991979,0.1008386,2.213637259118442,-390.40974281376003,-388.7587518037379,1,2.5451594360377747,0.8505594910488166,0.3341871144351845,-0.7386974836858975,50000,2,0.1,1,1,0,0
