head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.4189516759370336,20.37376354872336,2.45632803080937,0.0968448,2.3788257308986993,-391.47563404228447,-390.1316247453702,1,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,0,1,0,0
1,0.3567079696687708,20.81675677343406,2.438383647012177,0.0992254,2.419495685332852,-391.34700211971284,-390.16087328963755,0,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,0,0,1,0
2,0.3604239221206197,20.38591024068594,2.399014946189214,0.0987132,2.3681441850472322,-391.3964079703546,-390.1684823752022,1,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,1,1,0,1
3,0.3961184593965538,20.55955349951298,2.452073809347852,0.0982464,2.4090740021197274,-391.36646159469126,-390.1549133043432,0,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,0,0,1,1
4,0.39880780168862445,19.084040952482884,2.307211896936913,0.1008706,2.327298250981821,-391.52766061031343,-390.16874616993545,1,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,1,1,0,1
5,0.45830813894252875,19.645473312528043,2.422855470195333,0.0993654,2.407479788633495,-391.63273465857503,-390.1557219882214,0,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,1,0,1,0
6,0.3619371227277764,23.042424266733445,2.666179549401121,0.1041464,2.776729740564515,-391.1922075849199,-390.1974868608606,0,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,0,0,1,1
7,0.48742879664235234,18.37229637809729,2.3246584344520813,0.100608,2.3387921238543377,-391.7223873990202,-390.17198884168386,1,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,1,1,0,1
8,0.3516043053581723,20.39332093116892,2.390936398475064,0.0995374,2.3798756887081494,-391.44263549822807,-390.17144064219116,1,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,1,1,0,0
9,0.3997435906812678,20.630927239996627,2.4628363146809304,0.1024424,2.52298837653186,-391.5132590625572,-390.1738970521617,0,2.4320478497500058,0.09315504095303097,0.03830312819691243,0.4405658904704589,50000,2,0.1,0,0,1,0
