head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.3150400462517745,23.086426872637148,2.6236827335154893,0.1006938,2.6418855801320618,-382.64788138925553,-381.5772559814978,1,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,1,1,0,0
1,0.3487527951388365,25.059061268191,2.8546589219579372,0.1038178,2.963643793916068,-382.3338695512557,-381.6034268666458,0,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,0,0,1,0
2,0.5150184531434069,25.16309111642985,3.031327564786392,0.0964812,2.9246609179705967,-382.8642385344124,-381.5782313889742,0,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,0,0,1,1
3,0.391424407463456,22.40633724614524,2.6320581320779803,0.098317,2.5877603349390745,-382.75486343162777,-381.5509107336688,1,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,1,1,0,1
4,0.3843397333005914,21.95370283904513,2.5797100172051044,0.1018678,2.627893578117104,-382.8909355328679,-381.62354641407967,1,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,1,1,0,1
5,0.37277827272081454,24.615011705410904,2.8342794432619054,0.0939846,2.6637859312533356,-382.80386707107544,-381.5165735739279,1,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,0,1,0,0
6,0.41855965202269624,23.065114254226064,2.725071077445303,0.1010822,2.754561521189264,-382.5801679278243,-381.58742867970705,0,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,0,0,1,1
7,0.3437492955301531,23.64004889170263,2.7077541847004163,0.1008822,2.731641718953672,-382.6350491207516,-381.60845719203473,0,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,0,0,1,1
8,0.31409427753610675,23.4151270564937,2.6556069831854767,0.098635,2.6193576859292262,-382.448730096097,-381.619669404192,1,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,1,1,0,0
9,0.3910431236046798,21.99381178214135,2.590424301818815,0.1042384,2.7002165754054457,-382.67293494915964,-381.6176562204885,0,2.7234573359954823,0.13630928160282138,0.05005008865046036,-0.4641964215880913,50000,2,0.1,1,0,1,0
