step,rho_mean,rho_std,rho_cv,max_rho,max_head,rho_d_corr
550000,3.629,2.306,0.635,10.527,6,0.386
600000,2.723,0.136,0.05,3.031,2,-0.464
650000,3.044,0.447,0.147,3.888,8,0.197
700000,3.202,0.88,0.275,5.763,9,0.492
750000,2.324,0.302,0.13,3.177,4,0.842
800000,2.962,1.116,0.377,6.278,8,0.049
850000,2.545,0.851,0.334,5.075,5,-0.739
900000,2.432,0.093,0.038,2.666,6,0.441
