head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.35992836011839013,21.56180425035472,2.5161087851538624,0.0987116,2.483690991196841,-390.43930151268484,-389.2029090961671,1,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,1,1,0,0
1,0.4499335955911647,21.198736261116917,2.5698072217028565,0.0994916,2.5567420661135127,-390.6024057968068,-389.21087570123314,1,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,1,1,0,0
2,0.4320067028472911,21.576758940887093,2.5896825969360004,0.1006432,2.606339174765575,-390.5070619001603,-389.26040426817656,0,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,1,0,1,1
3,0.4182188685152541,22.909647913453895,2.7091836598606434,0.0944678,2.5593059454992386,-390.38036547920467,-389.15441404363037,0,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,0,0,1,1
4,0.372181737062312,22.826662994257063,2.6548480364880183,0.0977534,2.5952039609798825,-390.18136811201333,-389.2092089752722,0,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,0,0,1,1
5,0.38173101091709233,22.706941602491224,2.652425171166215,0.0952314,2.5259413718598456,-390.3600646077776,-389.1869439200354,1,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,0,1,0,0
6,0.41475132611670595,24.918190089525268,2.906570335069233,0.1049732,3.0511195858609375,-390.30660441660643,-389.2314647877455,0,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,0,0,1,1
7,0.3634791933539879,19.14871924733694,2.2783511180876816,0.1053802,2.4009307248499625,-390.62913778814914,-389.2812631361997,1,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,1,1,0,1
8,0.598013880411292,56.80252217016662,6.278266097427954,0.1008992,6.334719632704062,-390.47990503612516,-389.2430089691806,0,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,0,0,1,0
9,0.3276863797460566,21.36455400430506,2.4641417801765626,0.1024484,2.524473575075048,-390.38134007007835,-389.23470753473043,1,2.9619384802069026,1.1163010903995014,0.37688192853779473,0.04910796637110555,50000,2,0.1,1,1,0,0
