step,rho_cv,rho_mean,max_rho,max_head,success
550000,0.635,3.629,10.527,6,0.65
600000,0.05,2.723,3.031,2,0.45
650000,0.147,3.044,3.888,8,0.4
700000,0.275,3.202,5.763,9,0.5
750000,0.13,2.324,3.177,4,0.65
800000,0.377,2.962,6.278,8,0.6
850000,0.334,2.545,5.075,5,0.65
900000,0.038,2.432,2.666,6,0.55
