head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.396627219906617,21.984008346230535,2.5950280545296707,0.1008148,2.61617208150077,-388.63530690909386,-387.8562076847577,0,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,0,0,1,0
1,0.35688923286675284,19.71712660791284,2.328601893658037,0.1008116,2.3475005918769063,-388.6314120802373,-387.87602675657274,1,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,1,1,0,0
2,0.41141126397460803,21.315467183675786,2.5429579823421866,0.0986172,2.507793708582988,-388.7421471474552,-387.8254880514121,0,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,0,0,1,1
3,0.399411316542936,20.754773685353637,2.4748886850783,0.0987548,2.4440711267645923,-388.732138320117,-387.8347062998843,1,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,1,1,0,1
4,0.3353131506044036,21.732750996506315,2.508588250255035,0.0982192,2.463915064302987,-388.41117421584846,-387.84142575776576,0,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,0,0,1,1
5,0.5007230128169903,20.90914350192224,2.5916373630092147,0.1037846,2.6897202016776416,-388.8754985218251,-387.85953519735455,0,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,0,0,1,0
6,0.5184868203638922,21.600594667529474,2.6785462871168395,0.1032038,2.764361276627361,-389.00198237540485,-387.8872372975516,0,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,0,0,1,1
7,0.33758549385497644,19.608028712468958,2.2983883651018724,0.1006266,2.312789835318617,-388.53187115495444,-387.8587925244248,1,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,1,1,0,1
8,0.40393148470300505,18.497887038129292,2.2537201885159344,0.0980012,2.208672608520617,-388.72865659082413,-387.83245064053534,1,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,1,1,0,0
9,0.32019650552557777,17.481138498109534,2.068310355336531,0.0971662,2.009698375517167,-388.76302789374114,-387.8075134074318,1,2.4340667424943625,0.1803936116113304,0.07411202319183242,0.6282121121990308,50000,2,0.1,1,1,0,0
