head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.3504480546197903,22.712299368250804,2.6216779914448707,0.0966852,2.5347743559070204,-381.895073937422,-380.8433297695148,0,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,0,0,1,0
1,0.4943528119244823,20.991856348232293,2.593538446747712,0.096722,2.508522005611121,-381.6748235295558,-380.83916512497905,1,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,0,1,0,0
2,0.5772894487449424,19.133542709639972,2.4906437197089395,0.102366,2.549572095160044,-382.3694608090407,-380.9004368009329,0,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,1,0,1,1
3,0.45585971645518636,20.75177808519627,2.531037524974814,0.0984338,2.4913961661190416,-381.87781005960346,-380.8660798956132,1,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,1,1,0,1
4,0.5634622963638792,20.903477735465906,2.65381006991047,0.1001526,2.6578595182912013,-382.15109624417545,-380.8768952317822,0,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,0,0,1,1
5,0.7522666546973958,32.27276770759948,3.979543425457344,0.101136,4.024750636295476,-382.45459090890887,-380.85350628227354,0,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,0,0,1,0
6,0.5725649498056183,23.08566953230528,2.881131903036146,0.0990046,2.8524528308280415,-381.97363650975586,-380.85502957483885,0,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,0,0,1,1
7,0.3452726791163216,16.587954259364825,2.004068105052804,0.1084198,2.1728064140813985,-382.07407422064426,-380.93964928883435,1,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,1,1,0,1
8,0.3763656338777789,20.055753557814228,2.381940989659202,0.0925526,2.204548095940513,-381.8966762913275,-380.82146334334374,1,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,1,1,0,0
9,0.4022814136935481,18.530861593099083,2.2553675730034564,0.1045274,2.3574768487559297,-381.9586201173449,-380.9023730262923,1,2.639275974899576,0.5008320159829901,0.18976113860333807,-0.18218690674777957,50000,2,0.1,1,1,0,0
