head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.8136055694800621,24.73454734731337,3.2870603042113995,0.1020204,3.3534717352505132,-292.3017209050894,-290.07560175357224,0,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,0,0,1,0
1,0.6101715382792954,22.345235103976663,2.8446950486769618,0.0929092,2.642983147867061,-291.82650063837053,-290.0237999975997,1,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,1,1,0,0
2,0.4789134289370779,24.80213737546849,2.959127166483927,0.1016608,3.008272049637687,-291.67873022920134,-290.0933903566515,1,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,1,1,0,1
3,0.7196450986794238,29.272295915310522,3.646874690210476,0.0911024,3.322390035535305,-291.9783668122554,-290.0026301681268,0,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,0,0,1,1
4,0.6688214085645919,21.535282598633156,2.8223496684279077,0.1030202,2.9075899823547693,-291.9603113716763,-290.08824207802417,1,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,1,1,0,1
5,0.8412822284564742,23.606336740048953,3.2019159024613697,0.1056156,3.381722353707755,-292.4769657049251,-290.09066658367277,0,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,0,0,1,0
6,0.7161349795669562,24.134276072540803,3.1295625868210366,0.109058,3.413038024631484,-292.0131571142143,-290.13289159976244,0,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,0,0,1,1
7,0.9471961892513762,21.15584047622369,3.0627802368737456,0.0956766,2.9303637030763756,-293.0459980954254,-290.0690857628775,1,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,1,1,0,1
8,0.7047900990803249,24.125638636510228,3.117353962731348,0.1060046,3.304538268323688,-292.3558539767611,-290.11115443270205,1,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,1,1,0,0
9,1.2597756307466517,26.473714071574953,3.907147037904147,0.0929322,3.6309973364594246,-292.81558601217745,-290.02827112375735,0,3.197886660480232,0.32631190455159664,0.10203985887423392,-0.42429711610073495,50000,2,0.1,0,0,1,0
