head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.38083792608256406,16.64756526380537,2.045594452463101,0.1010654,2.067388009020842,-397.30897346614717,-396.33634934428693,0,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,0,0,1,0
1,0.3462466275270947,16.084079802174053,1.9546546077445002,0.0986722,1.9287005109928177,-397.4187705104256,-396.34124258298397,1,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,1,1,0,0
2,0.46064149820709327,19.831481525597216,2.443789650766815,0.1013242,2.476150065707263,-397.58945454247953,-396.3188713211966,0,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,0,0,1,1
3,0.29771921891731107,17.25450482758722,2.023169701676033,0.1007018,2.037368102905585,-397.29100620558023,-396.3492826132953,1,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,1,1,0,1
4,0.4181659841742404,21.38308163610283,2.5564741477845234,0.0965802,2.469047597973829,-397.33300907030105,-396.35061276279805,0,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,0,0,1,1
5,0.28875183890075773,14.689253984849884,1.7576772373857463,0.0996604,1.7517079903167851,-397.4531881356287,-396.32539381954433,1,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,1,1,0,0
6,0.5485079245609769,24.203501625232484,2.9688580870842256,0.103246,3.065226914068288,-397.61722685781956,-396.3496392370713,0,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,0,0,1,1
7,0.29161772480548714,15.806665680406015,1.8722842928460888,0.0995382,1.8636378976179355,-397.5090254159522,-396.32859943654773,1,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,1,1,0,1
8,0.3042341662917502,14.538249898139371,1.7580591561056875,0.0994142,1.7477602707931932,-397.41112523476363,-396.3341988899052,1,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,1,1,0,0
9,0.33731300400096254,17.495615150819376,2.0868745190829,0.0997974,2.082646303042608,-397.20877504482985,-396.3286990691912,0,2.146743585293962,0.37091077051690763,0.1727783286881624,0.3571234945225533,50000,2,0.1,0,0,1,0
