head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.22276393869198616,15.55141943495228,1.7779058821872142,0.1014378,1.8034684326144585,-398.79018885073305,-398.08342195081116,1,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,1,1,0,0
1,0.2552485804594642,16.354377157120965,1.8906862961715607,0.0998508,1.8878652034311523,-398.83075340234757,-398.0985087557447,0,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,0,0,1,0
2,0.2316175871380693,15.06964965365203,1.7385825525032723,0.1014588,1.7639448183847084,-398.8980727887428,-398.0817571723676,1,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,1,1,0,1
3,0.2819705940648324,14.941749895599026,1.7761455836247348,0.0995418,1.7680071077598556,-398.9808071475947,-398.0726684175992,1,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,1,1,0,1
4,0.27538490028152557,16.143493286139083,1.889734228895434,0.097427,1.8411111830748361,-399.03553675738215,-398.0300391812813,0,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,0,0,1,1
5,0.30657334275044296,15.735855071677822,1.8801588499182251,0.0996834,1.874206079578776,-399.08956317406535,-398.05363873399614,0,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,0,0,1,0
6,0.28673476268856596,14.319413279070893,1.7186760905956553,0.10185,1.7504714232245326,-399.0764012508786,-398.06462010278585,1,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,1,1,0,1
7,0.22707750930407117,16.001153246217587,1.8271928339258299,0.0993494,1.8153049358178148,-398.90752915821196,-398.0321651470959,0,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,0,0,1,1
8,0.27246130921332895,15.291895616234077,1.801650870836737,0.1009766,1.8192456113167674,-398.91080179558753,-398.0768769067299,0,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,1,0,1,0
9,0.276921746914602,15.515169770813875,1.8284387239959896,0.0984244,1.7996296634977424,-398.9105102005172,-398.04533778275845,1,1.8129171912654656,0.05833261523488137,0.03217610555747588,-0.7470085915724191,50000,2,0.1,0,1,0,0
