head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.3169822696577556,18.43845196055539,2.160827465713295,0.100388,2.1692112593591366,-391.92239848405836,-391.07384835354327,1,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,1,1,0,0
1,0.4356267624820717,18.911934272165016,2.3268201896985734,0.0988012,2.298926039371863,-392.0614973787737,-391.0500137118566,1,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,1,1,0,0
2,0.3572901583033091,18.53382048719666,2.2106722070229754,0.1011938,2.237062988124117,-392.02110228157284,-391.06735591503025,1,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,1,1,0,1
3,0.5343135192008502,17.964903380074485,2.330803857208299,0.0978208,2.2800107515509405,-392.3077695718825,-391.06340291802167,1,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,1,1,0,1
4,0.3467001916687972,20.66277710174333,2.41297790184313,0.0972394,2.346364999248349,-391.92762938571093,-391.02110673775434,0,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,0,0,1,1
5,0.26736873086442997,20.04879454005122,2.272248184869552,0.0963444,2.1891836613050946,-391.5445384629798,-391.00180797267916,1,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,1,1,0,0
6,0.3783982649611004,20.57256560407773,2.4356548253688737,0.105218,2.562747037881918,-392.0800357952154,-391.1027733299935,0,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,0,0,1,1
7,0.3651771110594757,19.713002659811064,2.3364773770405822,0.1007016,2.3528698670309125,-392.0749761123228,-391.0678562323475,0,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,0,0,1,1
8,0.34135672188668315,20.112131217306644,2.3525698436173474,0.1018276,2.395565170522781,-391.81462164918423,-391.07866263185025,0,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,0,0,1,0
9,0.40707829601712314,20.47078063040237,2.45415635905736,0.1004652,2.4655728478824104,-392.08154716800095,-391.05575807528555,0,2.3293208211439986,0.08956244485945453,0.03845002528718543,0.19636671516443854,50000,2,0.1,0,0,1,0
