head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.33881046715817537,15.853184367546502,1.9241289039128255,0.0970176,1.8667434968081795,-397.8458028879929,-396.73431512616156,1,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,1,1,0,0
1,0.3790912323052535,16.818177252475923,2.060908957552846,0.100896,2.07937449387507,-397.9230359417665,-396.7836296713471,0,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,1,0,1,0
2,0.4859120535405649,15.653188779983024,2.0512309315388673,0.1010798,2.073379915799632,-398.2576180307531,-396.765567099489,1,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,1,1,0,1
3,0.3679698944426426,17.30614290722231,2.0985841851648734,0.0992466,2.082773243636517,-397.83647727323535,-396.760250688566,0,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,0,0,1,1
4,0.34216273739011377,15.959530127076437,1.9381157500977575,0.1003002,1.943933779186173,-397.84199962920906,-396.773886299783,1,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,1,1,0,1
5,0.8573661300445685,51.056961203232206,5.9630622503677895,0.101226,6.03616878994042,-398.27834265991686,-396.76917199671743,0,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,0,0,1,0
6,0.6340981814688571,25.026928855089437,3.136791066977801,0.1001414,3.14122617542389,-398.034065664978,-396.7389942644393,0,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,0,0,1,1
7,0.37956561696589075,16.98796610988188,2.078362227954079,0.098903,2.055562388757184,-397.74926222714663,-396.7536413371301,1,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,0,1,0,1
8,0.3882466800135027,17.483447610535755,2.136591441067078,0.0987702,2.1103154284932923,-397.9311963125658,-396.72886657533644,0,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,0,0,1,0
9,0.3953431345134624,15.925457267059837,1.987888861219446,0.1024192,2.0359796649521003,-397.8869595052147,-396.7744847933865,1,2.5375664575853367,1.1899144230530236,0.46891950940118876,0.28465517540572843,50000,2,0.1,1,1,0,0
