head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.3587530572727688,18.060868872026898,2.1648399444754585,0.099105,2.145464412425962,-385.51611568394304,-384.6405912777251,1,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,1,1,0,0
1,0.330684849227453,20.147791903227215,2.3454640395501745,0.1001986,2.3501218961205312,-385.32737385085943,-384.6535206270063,0,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,1,0,1,0
2,0.4481385186583765,19.13549072377905,2.3616875910362816,0.104437,2.4664754228030192,-385.5121954132068,-384.67655589384736,0,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,0,0,1,1
3,0.27984799764897883,22.258651013034818,2.5057130989524605,0.0996886,2.4979100585713168,-385.10028827648165,-384.64408566664696,0,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,0,0,1,1
4,0.46753956874315844,19.447641664526333,2.412303735195792,0.0945568,2.2809969901819156,-385.7333908160853,-384.57876742268087,1,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,0,1,0,1
5,0.3327375787533051,20.781759933701977,2.410913572123503,0.097668,2.3546908321525,-385.2729456723297,-384.6195467275977,0,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,0,0,1,0
6,0.32091333056919646,17.919026782825487,2.112816008851745,0.1028582,2.1732042986963154,-385.54564676925895,-384.66240334176064,1,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,1,1,0,1
7,0.3162955672536382,17.32652317775731,2.048947885029369,0.1028126,2.106576382586067,-385.70044715881227,-384.6876936059117,1,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,1,1,0,1
8,0.3880324142611987,19.706075902845566,2.358640004545755,0.0993124,2.3424217616323224,-385.4125227020633,-384.6290704588032,0,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,0,0,1,0
9,0.36395883919403643,18.88131054144411,2.2520898933384474,0.0993628,2.2377393527641596,-385.5767343018138,-384.6371267248201,1,2.2973415773098984,0.1396784787306532,0.06080004797815527,-0.47311571899864036,50000,2,0.1,1,1,0,0
