head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.2734420916998396,15.593679676519622,1.832810059351802,0.0992446,1.8189648302669754,-399.75796979032515,-398.7414668121195,1,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,1,1,0,0
1,0.2484064503121858,17.326279300074578,1.9810343803196437,0.100616,1.9932373527786773,-399.30459388273,-398.7653213083196,0,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,0,0,1,0
2,0.30550790155067514,14.453443187289837,1.750852220279659,0.100685,1.7628453817040366,-399.84943885828733,-398.74493887770655,1,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,1,1,0,1
3,0.25883316474990903,16.3737086084171,1.896204025591619,0.099134,1.8797827107517244,-399.5250284660268,-398.73711055583954,1,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,0,1,0,1
4,0.3258355702543744,14.408400705657904,1.7666756408201647,0.1020732,1.8033021798754305,-399.88629869891884,-398.7412398119688,1,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,1,1,0,1
5,0.26077372514047686,17.082727554886098,1.9690464806290868,0.0969464,1.9089194864046486,-399.50016982480764,-398.69262066012857,0,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,0,0,1,0
6,0.2982588083045013,17.476786733354395,2.0459374816399407,0.1000558,2.0470789100468045,-399.642235599041,-398.7254312771368,0,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,0,0,1,1
7,0.26216258508329454,15.792005407471228,1.8413631258304173,0.0988588,1.8203493078035098,-399.65963830672024,-398.72841968631747,1,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,1,1,0,1
8,0.3754718021922118,33.435964460353645,3.7190682482275768,0.1004856,3.7371276699282023,-399.6591843163753,-398.7256214751339,0,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,0,0,1,0
9,0.26031084205040994,16.134203229098883,1.8737311649602983,0.1019006,1.9093431085472228,-399.57349230711935,-398.7603907427144,0,2.0676722827650207,0.557600104076464,0.2696752797953327,0.05241929172819752,50000,2,0.1,1,0,1,0
