head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.48274725326618073,17.520663014925244,2.234813554758705,0.0987348,2.206538473010051,-395.87409923006294,-394.55083335149646,0,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,0,0,1,0
1,0.4818705820981038,16.327819186245005,2.1146525007226042,0.0976526,2.0650129414193477,-395.9767812213719,-394.53179153195975,0,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,0,0,1,0
2,0.47222859344734075,16.19183568384641,2.091412161831982,0.0955932,1.9992476107596093,-395.91077514698384,-394.5269803120959,1,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,0,1,0,1
3,0.37067190151609297,14.898493634428585,1.8605212649589515,0.1033472,1.9227964404600133,-395.95940900245904,-394.5904904267335,1,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,1,1,0,1
4,0.4494392664663804,14.415219630135198,1.8909612294799003,0.1022248,1.933031141610255,-396.1042714688301,-394.58357649982213,1,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,1,1,0,1
5,0.38048253327285153,14.823888959293297,1.8628714292021815,0.0990158,1.8445368641422872,-395.8234180229139,-394.5283647541809,1,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,1,1,0,0
6,0.44608060667667504,15.748152222862826,2.0208958289629577,0.1015194,2.0516011150281095,-395.92903141509174,-394.57238496414067,0,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,1,0,1,1
7,0.4678085594330203,14.838434964717377,1.951652055904758,0.0984754,1.9218969764707365,-396.0279676629424,-394.5386356704021,1,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,1,1,0,1
8,0.5179750788465035,16.871746821676464,2.20514976101415,0.0983714,2.169236475082626,-395.9993944463682,-394.5317746128917,0,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,0,0,1,0
9,0.920947447808434,36.38549617872219,4.559497065680653,0.1050654,4.790453351000306,-396.4216820189488,-394.60849582058194,0,2.279242685251684,0.7709025775711229,0.3382275082759436,0.5246018933639232,50000,2,0.1,0,0,1,0
