head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.3209337541904458,18.62255720851912,2.183189475042358,0.0998364,2.179617559099433,-390.76198627717736,-389.7954876700008,0,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,0,0,1,0
1,0.4162601232534417,16.688062233264535,2.0850663465798953,0.099425,2.0730770077793603,-391.03085190740825,-389.8043189204991,1,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,1,1,0,0
2,0.3763898380743512,16.800968513604595,2.0564866894348106,0.0973882,2.002775169802635,-390.9271091528177,-389.76063905961394,1,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,1,1,0,1
3,0.5195870626429804,19.036307944541626,2.4232178570971428,0.0948568,2.298586686412254,-390.76707289559243,-389.7482235509801,0,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,0,0,1,1
4,0.35977496438465173,17.247283916032274,2.084503355987879,0.099802,2.0803758313054397,-390.62302821701644,-389.78439520718575,1,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,1,1,0,1
5,0.4064751338947542,17.295556430953358,2.13603077699009,0.0997302,2.1302675529270156,-390.83757354057667,-389.7709126416421,1,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,0,1,0,0
6,0.4776990783055314,21.528858048225217,2.630584883128053,0.1046388,2.7526121794253795,-390.554097208792,-389.8363499033105,0,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,0,0,1,1
7,0.3755500490830905,17.552793864054195,2.13082943548851,0.0984846,2.0985386363692533,-390.7298816860378,-389.79802569274426,1,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,1,1,0,1
8,0.4078489946616183,16.19142937815538,2.0269919324771566,0.1062048,2.1527625126272483,-391.0116233578694,-389.8694123939991,0,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,1,0,1,0
9,0.5494139376511344,18.78208439528589,2.4276223771797234,0.0996332,2.4187176164284665,-390.954646228106,-389.77160797840713,0,2.2184523129405616,0.19232080615742791,0.086691430854149,0.04710697521985243,50000,2,0.1,0,0,1,0
