head_id,pess_gap_p_h,bellman_err_e_h,rho_h,min_win_rate_d_h,eta_h,q_sa_mean_h,q_next_mean_h,selected,rho_mean,rho_std,rho_cv,rho_d_corr,num_samples,critic_subsample_size,e_weight,selected_low_rho,selected_low_eta,selected_high_eta,selected_random_topk
0,0.30972669541102704,17.113914259193038,2.021118121330331,0.1013808,2.0490255154471084,-397.4303596046591,-396.67340415882944,0,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,0,0,1,0
1,0.5256404134817969,15.718415406826958,2.097481954164493,0.0996374,2.089876275611065,-398.08366669569017,-396.69164680065273,0,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,0,0,1,0
2,0.338329938229943,13.97325425553095,1.735655363783038,0.095968,1.6656735729479486,-397.85333528400423,-396.6389371943605,1,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,1,1,0,1
3,0.41143312393473463,36.510331465137085,4.062466270448443,0.0990672,4.024571182620582,-397.5851272321784,-396.6670744286895,0,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,0,0,1,1
4,0.25871165730668366,16.817502639528033,1.9404619212594871,0.1004672,1.9495275644028551,-397.5209077693617,-396.6905647434807,1,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,1,1,0,1
5,0.39855118206868245,18.175815173543267,2.2161326994230093,0.1024768,2.271021647020154,-397.71375054561497,-396.6765028375268,0,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,0,0,1,0
6,0.32773975901490515,17.7348345452539,2.1012232135402953,0.1001012,2.103349441097454,-397.62631200111747,-396.66116470897555,0,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,0,0,1,1
7,0.3145838342356449,16.827060284179105,1.9972898626535553,0.099714,1.9915774144886247,-397.435963023355,-396.6453599251997,1,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,1,1,0,1
8,0.3592074513090023,15.085509779229625,1.867758429231965,0.1014356,1.894571779784841,-397.87028471725705,-396.6839050594139,1,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,1,1,0,0
9,0.31045067788020436,15.515544144052761,1.8620050922854805,0.0997518,1.857383409908087,-397.6634853288913,-396.65838862546207,1,2.1901592928120097,0.637889518758616,0.291252566851923,-0.0471901214409865,50000,2,0.1,1,1,0,0
